,driftTaste,driftHealth,thresh,nDT,timeHin,bias,LL,AIC,BIC
1,0.660602731,0.225464684,0.679130556,0.874171612,-0.019385132,0.105123278,477.8747235,978.8503326,967.749447
2,0.740882321,0.154300098,1.739763156,0.694186942,0.009690775,-0.840464457,539.6388633,1101.411003,1091.277727
3,0.446849229,0.493611428,0.732831026,0.834955838,0.034682414,-0.440178344,505.5723403,1035.18868,1023.144681
4,0.264061584,1.218611995,1.199498082,0.668598447,0.052690553,-0.2330642,466.2611432,954.1877939,944.5222864
5,-0.222914833,0.25074055,1.082514328,0.679839295,-0.602671309,-0.77300985,494.5743955,1010.814298,1001.148791
6,0.562863744,-0.050195293,1.149754948,0.5650793,0.783433968,0.210370152,505.4481713,1033.463543,1022.896343
7,0.248598585,0.636939649,1.231929281,0.558712532,-0.170709434,-0.305465826,517.660912,1058.672746,1047.321824
8,0.17022974,0.194884789,1.463421668,0.64581884,-0.025891902,0.162129193,550.500779,1122.667065,1113.001558
9,-0.02881539,0.467916003,1.467285651,0.628496279,-0.869805768,-0.748526732,533.7077973,1090.387443,1079.415595
10,0.272623364,0.494581105,1.342711409,0.549620384,0.006495276,-0.825958123,500.0559614,1021.613036,1012.111923
11,0.374373918,0.255455903,1.231018171,0.732454465,0.517817932,-0.577254524,559.6709103,1142.181796,1131.341821
12,0.311648722,0.267089635,1.224907284,0.68958962,-0.002108314,-0.184776369,561.3511846,1147.561177,1134.702369
13,0.495730884,0.433692041,1.071816777,0.702128186,0.04730807,-0.398626009,522.2876404,1068.282743,1056.575281
14,0.149873623,0.178972861,0.623975623,0.608421326,0.538772733,-0.18932565,499.5061657,1022.603285,1011.012331
15,0.280965319,0.807878665,1.083169432,0.667643644,-0.281896571,-0.365496862,491.7802741,1007.151502,995.5605483
16,0.155295107,0.328671159,1.449655292,0.679367847,0.047149244,-0.787001979,542.797353,1109.416458,1097.594706
17,0.366160494,0.322557318,1.267242088,0.575816135,0.098859816,-0.209400036,568.1185857,1160.389282,1148.237171
18,0.38573879,0.614897195,0.982018915,0.81823191,-0.002799132,-0.297749021,529.3670252,1082.441513,1070.73405
19,0.267749395,0.477950054,1.06280216,0.898120897,0.004511467,-0.455164112,513.6976372,1051.329179,1039.395274
20,-0.03261476,0.819525755,1.285973697,0.707140054,-0.49524084,-0.141148068,501.7293869,1025.884792,1015.458774
21,0.323898806,0.641974652,1.057858352,0.699341152,-0.336540652,-0.289419779,510.4664031,1044.283728,1032.932806
22,0.395835589,0.382629713,1.006371272,0.665865723,-0.024771254,-0.305571816,540.0675922,1102.975159,1092.135184
23,0.458725167,-0.134857759,0.943819829,0.819420714,0.867511001,-0.393996987,516.7928124,1056.812831,1045.585625
24,0.454212711,0.624550897,1.216255027,0.747898996,-0.00786869,-0.749376029,503.1775611,1029.195097,1018.355122
25,0.178631714,0.490802348,1.16441782,0.863006535,-0.100906441,-0.225729855,535.0442354,1091.589584,1082.088471
26,0.20244622,0.418650197,1.093123131,0.872291027,-0.013214619,-0.444568,535.2122845,1092.706001,1082.424569
27,0.424546015,0.671730904,1.041298086,0.577979807,-0.916167264,-0.613452909,473.6751252,970.3220987,959.3502503
28,1.901918073,0.28711866,0.606049676,0.908003739,-0.475004089,-0.150265522,472.1860322,968.4160636,956.3720645
29,0.434772287,0.223165166,1.370800269,0.707704445,0.159172278,-0.133492402,545.9428283,1116.037767,1103.885657
30,-1.124875736,0.430644495,0.953620205,0.996197119,-0.598859571,-0.53676974,492.8562716,1009.420005,997.7125431
31,0.532140363,0.122934808,0.902764049,0.725938844,0.856364796,-0.414352831,502.3077204,1028.206395,1016.615441
32,0.382713919,0.783802084,1.191825218,0.753492591,0.036968629,-0.514329646,543.6735971,1106.660449,1099.347194
33,0.68619358,0.041945811,1.85109547,0.409750673,0.853471923,0.398206308,563.7957988,1150.563446,1139.591598
34,0.52104246,0.304723242,0.997271213,0.705165833,-0.025886892,-0.416136818,532.2746609,1087.900244,1076.549322
35,0.374056242,0.437554628,1.005604628,0.760333818,-0.014571367,-0.650529121,520.2114317,1063.895001,1052.422863
36,0.416967625,0.562892869,1.45377259,0.731782695,-0.321959414,-0.351882809,530.4227504,1082.826871,1072.845501
37,0.611876708,0.460839882,1.145230891,0.700204281,0.057820947,-0.542482671,496.0171973,1015.261601,1004.034395
38,0.352937691,0.159937322,0.822490775,0.87586721,0.004720901,-0.265935304,505.5257568,1035.516738,1023.051514
39,0.677203002,0.386419764,0.875869593,0.739945807,-0.630090223,-0.616639875,481.1009626,985.9093876,974.2019253
