subID		iapsID		setNR		scan_rating	post_rating	type	exclude_er
   1.0030000000000000e+03	   1.3000000000000000e+03	   1.0000000000000000e+00	   4.0000000000000000e+00	   2.0000000000000000e+00	   2.0000000000000000e+00	   0.0000000000000000e+00	
   1.0030000000000000e+03	   1.4400000000000000e+03	   4.0000000000000000e+00	   9.0000000000000000e+00	                      NaN	   5.0000000000000000e+00	   0.0000000000000000e+00	
   1.0030000000000000e+03	   1.4600000000000000e+03	   3.0000000000000000e+00	   4.0000000000000000e+00	   5.0000000000000000e+00	   4.0000000000000000e+00	   0.0000000000000000e+00	
   1.0030000000000000e+03	   1.4630000000000000e+03	   4.0000000000000000e+00	   5.0000000000000000e+00	                      NaN	   5.0000000000000000e+00	   0.0000000000000000e+00	
   1.0030000000000000e+03	   1.5250000000000000e+03	   2.0000000000000000e+00	   1.0000000000000000e+00	                      NaN	   1.0000000000000000e+00	   0.0000000000000000e+00	
   1.0030000000000000e+03	   1.7100000000000000e+03	   3.0000000000000000e+00	   6.0000000000000000e+00	   6.0000000000000000e+00	   4.0000000000000000e+00	   0.0000000000000000e+00	
   1.0030000000000000e+03	   1.7200000000000000e+03	   4.0000000000000000e+00	   5.0000000000000000e+00	                      NaN	   5.0000000000000000e+00	   0.0000000000000000e+00	
   1.0030000000000000e+03	   1.7210000000000000e+03	   3.0000000000000000e+00	   3.0000000000000000e+00	   6.0000000000000000e+00	   4.0000000000000000e+00	   0.0000000000000000e+00	
   1.0030000000000000e+03	   1.7310000000000000e+03	   4.0000000000000000e+00	   7.0000000000000000e+00	                      NaN	   5.0000000000000000e+00	   0.0000000000000000e+00	
   1.0030000000000000e+03	   1.7500000000000000e+03	   3.0000000000000000e+00	                      NaN	   6.0000000000000000e+00	   4.0000000000000000e+00	   0.0000000000000000e+00	
   1.0030000000000000e+03	   1.8100000000000000e+03	   3.0000000000000000e+00	   4.0000000000000000e+00	   7.0000000000000000e+00	   4.0000000000000000e+00	   0.0000000000000000e+00	
   1.0030000000000000e+03	   1.9200000000000000e+03	   3.0000000000000000e+00	   4.0000000000000000e+00	   7.0000000000000000e+00	   4.0000000000000000e+00	   0.0000000000000000e+00	
